FIRE_NAME,n_per_fire
A-ROCK,51
ACKERSON,112
ASSIST P.N.F.,40
BARK,19
BARKER,56
BARKLEY,1
BEAN,3
BEAR,143
BELL WEST,2
BISCUIT,202
BLAKE,33
BLUE,468
BOHEMOTASH,139
BOX,1
BUCKS,456
BURNEY FIRE,5
CABBAGE,1
CAMPBELL,2
CANNON,1
CHINA,331
CHOKE,64
CLEVELAND,78
COLD,217
CONE,5
COOKS,30
COONEY,7
COTTONWOOD,8
COUGAR #2,1
DARBY,140
DAY,5
DEAFY,217
DEEP,1
DEER,4
DELTA,4
DEVILS GAP,58
EAGLE,6
EAST,27
FLUME,209
FORK,598
FORKS,19
FORT/COPPER,552
FOUNTAIN,172
FOUTS,4
FREDS,128
FRENCH,1
FRIENDLY,22
GAP,20
GLASGOW,139
GULCH,232
GULCH FIRE,6
GUN II,89
HAMM,34
HAPPY CAMP,53
HASLOE,1
HIGH,70
HIGHWAY,10
HIGHWAY 70,10
HIRAM,10
HORTON 2,7
HOTELLING,381
HYAMPOM,54
INDIAN,238
JACK #1,466
JACKASS,10
JARREL,1
JESSIE,38
JONES,1
JOURNEY,34
KELSEY,67
KIBBIE CMPLX WFU,18
KING TITUS,716
LAKE,363
LARSON,278
LAYMAN,29
LETTS,4
LIGHTNING #97 (BISON),2
LOMA,133
LOOKOUT,91
LUNCH,79
MCNALLY,313
MEGRAM,3677
MENDENHALL,67
MOUNTAIN,2
MUDD,3
MUSSOLINI,1
NIELON,30
NORTH FORK,37
OBELISK,55
ONION,332
OREGON,12
PALMER,61
PAPER,8
PEANUT,37
PENDOLA,147
PIDGEON,152
PILOT,10
PLUM,16
PLUMAS NF #531 (CLARK),17
POE,25
PONY,30
POWER,354
RACK,2
RAINBOW,4
REPTILE,84
ROCK,5
ROGGE,8
RUBY,29
SAINT CLAIRE,247
SHEEP #1,270
SHEEP #2,55
SIMS,71
SLATER,13
SPANISH,157
SPECIMEN,300
STANZA,78
STAR,326
STORMY,77
STORRIE,1126
STRAUSE,99
STREAM,104
SUGAR,25
SWILLUP II,137
TEN BALD,211
THOMPSON,140
TOWN,1
TRELOAR COMPLEX,52
TRINITY,26
TROUGH,139
WAGNER COMPLEX,11
WALKER,17
WALLOW,58
WEST KERN,17
WHIT,6
YELLOW,560
