plotID,pft,shrubCov
B77,s,0.9757575757575756
B67,s,0.9448275862068966
B90c,s,0.8391304347826087
B119,s,0.7321428571428571
B69,s,0.5952380952380952
B117,s,0.5178571428571429
B84,s,0.4932735426008968
B86,s,0.4612794612794613
B64,s,0.4121212121212121
B118,s,0.4107142857142857
B117b,s,0.3928571428571429
B90d,s,0.39271255060728744
B39,s,0.30416666666666664
B54,s,0.2777777777777778
B37,s,0.2679425837320574
B90b,s,0.23504273504273504
B52,s,0.22962962962962963
B34,s,0.14074074074074075
B28,s,0.13989637305699482
B29,s,0.1176470588235294
B28b,s,0.10526315789473684
B4,s,0.0075187969924812
B2,s,0.00696864111498257
B6,s,0.00377358490566037
B0,s,0
B1,s,0
