system:index,classification_mean,name,time,.geo
00000000000000000001_0,99.68434,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,99.549126,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,99.94559,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,98.08595,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,98.225395,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,88.3824,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,95.30485,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,94.44405,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,99.88582,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,96.67688,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,99.91698,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,98.2947,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,4.9720874,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,13.064604,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,4.364582,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,1.1939589,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,1.2979977,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,2.3138494,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,0.11336108,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,1.3989593,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,9.653807,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,0.88303983,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,0.6255253,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,2.0465825,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,1.1774039,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,1.9837366,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,98.36847,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,59.083057,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,10.6086035,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_0,6.544713,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026_0,22.198483,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027_0,36.194843,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_0,49.6862,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029_0,46.8586,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_0,26.149324,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_0,19.339481,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_0,4.061936,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_0,5.6050825,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0,0.19389488,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0,1.3041542,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_0,78.67753,A02,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,56.830105,A03,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,12.901204,A06,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,16.803896,A07,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025_0,4.204459,A09,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,0.90442836,A10,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,0.17571539,A11,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030_0,99.815056,A04,2021/10/27 16:16:21.000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031_0,99.91005,A05,2021/10/27 18:23:19.000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032_0,0.23555653,A08,2021/10/28 16:27:12.000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,17.141293,,2021/11/01 16:53:00.000,"{""type"":""MultiPoint"",""coordinates"":[]}"
