old_name,new_name
elevation,elevation
slope,slope
aspect,aspect
northness,northness
eastness,eastness
SolarLoad,SolarLoad
forestType,forestType
burnSev,burnSev
X1_1_LC08_041034_20130630_SAP,SAP2013
X1_1_LC08_041034_20140617_SAP,SAP2014
X1_1_LC08_041034_20150620_SAP,SAP2015
X1_1_LC08_041034_20160622_SAP,SAP2016
X1_1_LC08_041034_20170625_SAP,SAP2017
X1_1_LC08_041034_20180628_SAP,SAP2018
X1_1_LC08_041034_20190615_SAP,SAP2019
X1_1_LC08_041034_20200617_SAP,SAP2020
X1_2_LE07_041034_19990702_SAP,SAP1999
X1_2_LE07_041034_20000618_SAP,SAP2000
X1_2_LE07_041034_20010621_SAP,SAP2001
X1_2_LE07_041034_20020624_SAP,SAP2002
X1_2_LE07_041034_20030830_SAP,SAP2003
X1_2_LE07_041034_20040629_SAP,SAP2004
X1_2_LE07_041034_20050702_SAP,SAP2005
X1_2_LE07_041034_20060619_SAP,SAP2006
X1_2_LE07_041034_20070622_SAP,SAP2007
X1_2_LE07_041034_20080624_SAP,SAP2008
X1_2_LE07_041034_20090627_SAP,SAP2009
X1_2_LE07_041034_20100630_SAP,SAP2010
X1_2_LE07_041034_20110617_SAP,SAP2011
X1_2_LE07_041034_20120619_SAP,SAP2012
X2_LT05_041034_19840630_SAP,SAP1984
X2_LT05_041034_19850617_SAP,SAP1985
X2_LT05_041034_19860620_SAP,SAP1986
X2_LT05_041034_19870725_SAP,SAP1987
X2_LT05_041034_19880711_SAP,SAP1988
X2_LT05_041034_19890628_SAP,SAP1989
X2_LT05_041034_19900903_SAP,SAP1990
X2_LT05_041034_19910704_SAP,SAP1991
X2_LT05_041034_19920620_SAP,SAP1992
X2_LT05_041034_19930623_SAP,SAP1993
X2_LT05_041034_19940626_SAP,SAP1994
X2_LT05_041034_19950629_SAP,SAP1995
X2_LT05_041034_19960615_SAP,SAP1996
X2_LT05_041034_19970618_SAP,SAP1997
X2_LT05_041034_19980621_SAP,SAP1998
CWDhist,CWDhist
PPThist,PPThist
PPThistSD,PPThistSD
T_meanHist,T_meanHist
T_meanSD,T_meanSD
wilderness,wilderness
management1984,management1984
management1985,management1985
management1986,management1986
management1987,management1987
management1988,management1988
management1989,management1989
management1990,management1990
management1991,management1991
management1992,management1992
management1993,management1993
management1994,management1994
management1995,management1995
management1996,management1996
management1997,management1997
management1998,management1998
management1999,management1999
management2000,management2000
management2001,management2001
management2002,management2002
management2003,management2003
management2004,management2004
management2005,management2005
management2006,management2006
management2007,management2007
management2008,management2008
management2009,management2009
management2010,management2010
management2011,management2011
management2012,management2012
management2013,management2013
management2014,management2014
management2015,management2015
management2016,management2016
management2017,management2017
management2018,management2018
management2019,management2019
X198401_tmax_mean,Tmax_JanSept1984
X198501_tmax_mean,Tmax_JanSept1985
X198601_tmax_mean,Tmax_JanSept1986
X198701_tmax_mean,Tmax_JanSept1987
X198801_tmax_mean,Tmax_JanSept1988
X198901_tmax_mean,Tmax_JanSept1989
X199001_tmax_mean,Tmax_JanSept1990
X199101_tmax_mean,Tmax_JanSept1991
X199201_tmax_mean,Tmax_JanSept1992
X199301_tmax_mean,Tmax_JanSept1993
X199401_tmax_mean,Tmax_JanSept1994
X199501_tmax_mean,Tmax_JanSept1995
X199601_tmax_mean,Tmax_JanSept1996
X199701_tmax_mean,Tmax_JanSept1997
X199801_tmax_mean,Tmax_JanSept1998
X199901_tmax_mean,Tmax_JanSept1999
X200001_tmax_mean,Tmax_JanSept2000
X200101_tmax_mean,Tmax_JanSept2001
X200201_tmax_mean,Tmax_JanSept2002
X200301_tmax_mean,Tmax_JanSept2003
X200401_tmax_mean,Tmax_JanSept2004
X200501_tmax_mean,Tmax_JanSept2005
X200601_tmax_mean,Tmax_JanSept2006
X200701_tmax_mean,Tmax_JanSept2007
X200801_tmax_mean,Tmax_JanSept2008
X200901_tmax_mean,Tmax_JanSept2009
X201001_tmax_mean,Tmax_JanSept2010
X201101_tmax_mean,Tmax_JanSept2011
X201201_tmax_mean,Tmax_JanSept2012
X201301_tmax_mean,Tmax_JanSept2013
X201401_tmax_mean,Tmax_JanSept2014
X201501_tmax_mean,Tmax_JanSept2015
X201601_tmax_mean,Tmax_JanSept2016
X201701_tmax_mean,Tmax_JanSept2017
X201801_tmax_mean,Tmax_JanSept2018
X201901_tmax_mean,Tmax_JanSept2019
X202001_tmax_mean,Tmax_JanSept2020
X198410_tmax_mean,Tmax_OctNovDec1984
X198510_tmax_mean,Tmax_OctNovDec1985
X198610_tmax_mean,Tmax_OctNovDec1986
X198710_tmax_mean,Tmax_OctNovDec1987
X198810_tmax_mean,Tmax_OctNovDec1988
X198910_tmax_mean,Tmax_OctNovDec1989
X199010_tmax_mean,Tmax_OctNovDec1990
X199110_tmax_mean,Tmax_OctNovDec1991
X199210_tmax_mean,Tmax_OctNovDec1992
X199310_tmax_mean,Tmax_OctNovDec1993
X199410_tmax_mean,Tmax_OctNovDec1994
X199510_tmax_mean,Tmax_OctNovDec1995
X199610_tmax_mean,Tmax_OctNovDec1996
X199710_tmax_mean,Tmax_OctNovDec1997
X199810_tmax_mean,Tmax_OctNovDec1998
X199910_tmax_mean,Tmax_OctNovDec1999
X200010_tmax_mean,Tmax_OctNovDec2000
X200110_tmax_mean,Tmax_OctNovDec2001
X200210_tmax_mean,Tmax_OctNovDec2002
X200310_tmax_mean,Tmax_OctNovDec2003
X200410_tmax_mean,Tmax_OctNovDec2004
X200510_tmax_mean,Tmax_OctNovDec2005
X200610_tmax_mean,Tmax_OctNovDec2006
X200710_tmax_mean,Tmax_OctNovDec2007
X200810_tmax_mean,Tmax_OctNovDec2008
X200910_tmax_mean,Tmax_OctNovDec2009
X201010_tmax_mean,Tmax_OctNovDec2010
X201110_tmax_mean,Tmax_OctNovDec2011
X201210_tmax_mean,Tmax_OctNovDec2012
X201310_tmax_mean,Tmax_OctNovDec2013
X201410_tmax_mean,Tmax_OctNovDec2014
X201510_tmax_mean,Tmax_OctNovDec2015
X201610_tmax_mean,Tmax_OctNovDec2016
X201710_tmax_mean,Tmax_OctNovDec2017
X201810_tmax_mean,Tmax_OctNovDec2018
X201910_tmax_mean,Tmax_OctNovDec2019
X202010_tmax_mean,Tmax_OctNovDec2020
X198401_ppt_sum,PPTJan_Sept1984
X198501_ppt_sum,PPTJan_Sept1985
X198601_ppt_sum,PPTJan_Sept1986
X198701_ppt_sum,PPTJan_Sept1987
X198801_ppt_sum,PPTJan_Sept1988
X198901_ppt_sum,PPTJan_Sept1989
X199001_ppt_sum,PPTJan_Sept1990
X199101_ppt_sum,PPTJan_Sept1991
X199201_ppt_sum,PPTJan_Sept1992
X199301_ppt_sum,PPTJan_Sept1993
X199401_ppt_sum,PPTJan_Sept1994
X199501_ppt_sum,PPTJan_Sept1995
X199601_ppt_sum,PPTJan_Sept1996
X199701_ppt_sum,PPTJan_Sept1997
X199801_ppt_sum,PPTJan_Sept1998
X199901_ppt_sum,PPTJan_Sept1999
X200001_ppt_sum,PPTJan_Sept2000
X200101_ppt_sum,PPTJan_Sept2001
X200201_ppt_sum,PPTJan_Sept2002
X200301_ppt_sum,PPTJan_Sept2003
X200401_ppt_sum,PPTJan_Sept2004
X200501_ppt_sum,PPTJan_Sept2005
X200601_ppt_sum,PPTJan_Sept2006
X200701_ppt_sum,PPTJan_Sept2007
X200801_ppt_sum,PPTJan_Sept2008
X200901_ppt_sum,PPTJan_Sept2009
X201001_ppt_sum,PPTJan_Sept2010
X201101_ppt_sum,PPTJan_Sept2011
X201201_ppt_sum,PPTJan_Sept2012
X201301_ppt_sum,PPTJan_Sept2013
X201401_ppt_sum,PPTJan_Sept2014
X201501_ppt_sum,PPTJan_Sept2015
X201601_ppt_sum,PPTJan_Sept2016
X201701_ppt_sum,PPTJan_Sept2017
X201801_ppt_sum,PPTJan_Sept2018
X201901_ppt_sum,PPTJan_Sept2019
X202001_ppt_sum,PPTJan_Sept2020
X198410_ppt_sum,PPTOctNovDec1984
X198510_ppt_sum,PPTOctNovDec1985
X198610_ppt_sum,PPTOctNovDec1986
X198710_ppt_sum,PPTOctNovDec1987
X198810_ppt_sum,PPTOctNovDec1988
X198910_ppt_sum,PPTOctNovDec1989
X199010_ppt_sum,PPTOctNovDec1990
X199110_ppt_sum,PPTOctNovDec1991
X199210_ppt_sum,PPTOctNovDec1992
X199310_ppt_sum,PPTOctNovDec1993
X199410_ppt_sum,PPTOctNovDec1994
X199510_ppt_sum,PPTOctNovDec1995
X199610_ppt_sum,PPTOctNovDec1996
X199710_ppt_sum,PPTOctNovDec1997
X199810_ppt_sum,PPTOctNovDec1998
X199910_ppt_sum,PPTOctNovDec1999
X200010_ppt_sum,PPTOctNovDec2000
X200110_ppt_sum,PPTOctNovDec2001
X200210_ppt_sum,PPTOctNovDec2002
X200310_ppt_sum,PPTOctNovDec2003
X200410_ppt_sum,PPTOctNovDec2004
X200510_ppt_sum,PPTOctNovDec2005
X200610_ppt_sum,PPTOctNovDec2006
X200710_ppt_sum,PPTOctNovDec2007
X200810_ppt_sum,PPTOctNovDec2008
X200910_ppt_sum,PPTOctNovDec2009
X201010_ppt_sum,PPTOctNovDec2010
X201110_ppt_sum,PPTOctNovDec2011
X201210_ppt_sum,PPTOctNovDec2012
X201310_ppt_sum,PPTOctNovDec2013
X201410_ppt_sum,PPTOctNovDec2014
X201510_ppt_sum,PPTOctNovDec2015
X201610_ppt_sum,PPTOctNovDec2016
X201710_ppt_sum,PPTOctNovDec2017
X201810_ppt_sum,PPTOctNovDec2018
X201910_ppt_sum,PPTOctNovDec2019
X202010_ppt_sum,PPTOctNovDec2020
X1_1_LC08_041034_20130630_ConProb,ConProb2013
X1_1_LC08_041034_20140617_ConProb,ConProb2014
X1_1_LC08_041034_20150620_ConProb,ConProb2015
X1_1_LC08_041034_20160622_ConProb,ConProb2016
X1_1_LC08_041034_20170625_ConProb,ConProb2017
X1_1_LC08_041034_20180628_ConProb,ConProb2018
X1_1_LC08_041034_20190615_ConProb,ConProb2019
X1_1_LC08_041034_20200617_ConProb,ConProb2020
X1_2_LE07_041034_19990702_ConProb,ConProb1999
X1_2_LE07_041034_20000618_ConProb,ConProb2000
X1_2_LE07_041034_20010621_ConProb,ConProb2001
X1_2_LE07_041034_20020624_ConProb,ConProb2002
X1_2_LE07_041034_20030830_ConProb,ConProb2003
X1_2_LE07_041034_20040629_ConProb,ConProb2004
X1_2_LE07_041034_20050702_ConProb,ConProb2005
X1_2_LE07_041034_20060619_ConProb,ConProb2006
X1_2_LE07_041034_20070622_ConProb,ConProb2007
X1_2_LE07_041034_20080624_ConProb,ConProb2008
X1_2_LE07_041034_20090627_ConProb,ConProb2009
X1_2_LE07_041034_20100630_ConProb,ConProb2010
X1_2_LE07_041034_20110617_ConProb,ConProb2011
X1_2_LE07_041034_20120619_ConProb,ConProb2012
X2_LT05_041034_19840630_ConProb,ConProb1984
X2_LT05_041034_19850617_ConProb,ConProb1985
X2_LT05_041034_19860620_ConProb,ConProb1986
X2_LT05_041034_19870725_ConProb,ConProb1987
X2_LT05_041034_19880711_ConProb,ConProb1988
X2_LT05_041034_19890628_ConProb,ConProb1989
X2_LT05_041034_19900903_ConProb,ConProb1990
X2_LT05_041034_19910704_ConProb,ConProb1991
X2_LT05_041034_19920620_ConProb,ConProb1992
X2_LT05_041034_19930623_ConProb,ConProb1993
X2_LT05_041034_19940626_ConProb,ConProb1994
X2_LT05_041034_19950629_ConProb,ConProb1995
X2_LT05_041034_19960615_ConProb,ConProb1996
X2_LT05_041034_19970618_ConProb,ConProb1997
X2_LT05_041034_19980621_ConProb,ConProb1998
focalAreaID,focalAreaID
PatchID,PatchID
FireYear,FireYear
